"filename", "language", "Properties", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "Prisma", "CSS", "Markdown", "SQL", "comment", "blank", "total"
"c:\Dev\pos-system\prisma\migrations\20240101093040_initial\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 10, 50
"c:\Dev\pos-system\prisma\migrations\20240101102426_link_categories_to_menus\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 4, 20
"c:\Dev\pos-system\prisma\migrations\20240101104817_add_selected_bool_to_menu\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Dev\pos-system\prisma\migrations\20240101104947_rename_selected_to_active\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"c:\Dev\pos-system\prisma\migrations\20240104161520_change_default_status_to_new\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Dev\pos-system\prisma\migrations\20240105172902_change_capitalisation_on_statuses\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Dev\pos-system\prisma\migrations\20240116165945_add_discount_to_order\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Dev\pos-system\prisma\migrations\20240116182933_change_to_total_and_subtotal\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 1, 13
"c:\Dev\pos-system\prisma\migrations\20240116193246_add_giftcards\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 2, 12
"c:\Dev\pos-system\prisma\migrations\20240116193539_add_giftcard_active\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
